Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV719;Bia³ystok;;;;Bia³ystok;;;;;;;;x
PROV711;Siedlce;;;;Siedlce;;;;;;;;x
PROV700;Bydgoszcz;;;;Bydgoszcz;;;;;;;;x
PROV362;Mariampol;;;;Mariampol;;;;;;;;x
PROV699;Poznañ;;;;Poznañ;;;;;;;;x
PROV957;Kowel;;;;Kowel;;;;;;;;x
PROV956;Rowne;;;;Rowne;;;;;;;;x
PROV937;Brzeœæ Litewski;;;;Brzeœæ Litewski;;;;;;;;x
PROV936;Grodno;;;;Grodno;;;;;;;;x
PROV940;Piñsk;;;;Piñsk;;;;;;;;x
PROV941;S³uck;;;;S³uck;;;;;;;;x
PROV718;Miñsk;;;;Miñsk;;;;;;;;x
PROV942;Mozyrz;;;;Mozyrz;;;;;;;;x
PROV955;P³oskirów;;;;P³oskirów;;;;;;;;x
PROV954;Winnica;;;;Winnica;;;;;;;;x
PROV960;¯ytomierz;;;;¯ytomierz;;;;;;;;x
PROV958;Kijów;;;;Kijów;;;;;;;;x
PROV961;Czerkasy;;;;Czerkasy;;;;;;;;x
PROV959;Korosteñ;;;;Korosteñ;;;;;;;;x
PROV947;Postawy;;;;Postawy;;;;;;;;x
PROV360;Wilno;;;;Wilno;;;;;;;;x
PROV364;Szawle;;;;Szawle;;;;;;;;x
PROV363;Poniewie¿;;;;Poniewie¿;;;;;;;;x
PROV365;Po³¹ga;;;;Po³¹ga;;;;;;;;x
PROV361;Kowno;;;;Kowno;;;;;;;;x
PROV706;Warszawa;;;;Warszawa;;;;;;;;x
PROV694;Toruñ;;;;Toruñ;;;;;;;;x
PROV939;Baranowicze;;;;Baranowicze;;;;;;;;x
PROV709;£om¿a;;;;£om¿a;;;;;;;;x
PROV703;Kraków;;;;Kraków;;;;;;;;x
PROV707;Suwa³ki;;;;Suwa³ki;;;;;;;;x
