Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV12;Red Deer;;;;Red Deer;;;;;;;;x
PROV255;Derry;;;;Derry;;;;;;;;x
PROV360;Wilno;;;;Wilno;;;;;;;;x
PROV361;Kowno;;;;Kowno;;;;;;;;x
PROV362;Mariampol;;;;Mariampol;;;;;;;;x
PROV363;Poniewie¿;;;;Poniewie¿;;;;;;;;x
PROV364;Szawle;;;;Szawle;;;;;;;;x
PROV365;Po³¹ga;;;;Po³¹ga;;;;;;;;x
PROV694;Toruñ;;;;Toruñ;;;;;;;;x
PROV699;Poznañ;;;;Poznañ;;;;;;;;x
PROV700;Bydgoszcz;;;;Bydgoszcz;;;;;;;;x
PROV703;Kraków;;;;Kraków;;;;;;;;x
PROV706;Warszawa;;;;Warszawa;;;;;;;;x
PROV707;Suwa³ki;;;;Suwa³ki;;;;;;;;x
PROV709;£om¿a;;;;£om¿a;;;;;;;;x
PROV711;Siedlce;;;;Siedlce;;;;;;;;x
PROV718;Miñsk;;;;Miñsk;;;;;;;;x
PROV719;Bia³ystok;;;;Bia³ystok;;;;;;;;x
PROV936;Grodno;;;;Grodno;;;;;;;;x
PROV937;Brzeœæ Litewski;;;;Brzeœæ Litewski;;;;;;;;x
PROV939;Baranowicze;;;;Baranowicze;;;;;;;;x
PROV940;Piñsk;;;;Piñsk;;;;;;;;x
PROV941;S³uck;;;;S³uck;;;;;;;;x
PROV942;Mozyrz;;;;Mozyrz;;;;;;;;x
PROV947;Postawy;;;;Postawy;;;;;;;;x
PROV954;Winnica;;;;Winnica;;;;;;;;x
PROV955;P³oskirów;;;;P³oskirów;;;;;;;;x
PROV956;Rowne;;;;Rowne;;;;;;;;x
PROV957;Kowel;;;;Kowel;;;;;;;;x
PROV958;Kijów;;;;Kijów;;;;;;;;x
PROV959;Korosteñ;;;;Korosteñ;;;;;;;;x
PROV960;¯ytomierz;;;;¯ytomierz;;;;;;;;x
PROV961;Czerkasy;;;;Czerkasy;;;;;;;;x
PROV1363;Pakse;;;;Pakse;;;;;;;;;
PROV1364;Phnom Penh;;;;Phnom Penh;;;;;;;;;
PROV1464;Jolo;;;;Jolo;;;;;;;;;
PROV2126;Reunion;;;;Reunion;;;;;;;;x
PROV2281;Esmeraldas;;;;Esmeraldas;;;;;;;;;
PROV2595;Peace River;;;;Peace River;;;;;;;;x
PROV2629;Kamloops;;;;Kamloops;;;;;;;;x
PROV3249;Guangzhouwan;;;;Cantónwan;;;;;;;;x
PROV3250;Ceuta;;;;Ceuta;;;;;;;;x
PROV3251;Trankebar;;;;Trankebar;;;;;;;;x
PROV3252;Vaduz;;;;Vaduz;;;;;;;;x
PROV3253;Diu;;;;Diu;;;;;;;;x
PROV3254;Bandung;;;;Bandung;;;;;;;;x
PROV3255;Cuneo;;;;Cuneo;;;;;;;;x
PROV3256;Kampen;;;;Kampen;;;x
PROV3257;Almere;;;;Almere;;;x
PROV3258;Benevento;;;;Benevento;;;;;;;;;
PROV3259;Avellino;;;;Avellino;;;;;;;;;
PROV3260;Rieta;;;;Rieta;;;;;;;;;
AUS_2538;Vojvodina;;;;Voivodina;;;;;;;;;
BRZ_2401;Amazonas;;;;Amazonas;;;;;;;;;
BRZ_2414;Para;;;;Para;;;;;;;;;
BRZ_2416;Mato Grosso;;;;Mato Grosso;;;;;;;;;
BRZ_2421;Goias;;;;Goias;;;;;;;;;
BRZ_2424;Ceara;;;;Ceara;;;;;;;;;
BRZ_2432;Pernambuco;;;;Pernambuco;;;;;;;;;
BRZ_2435;Pernambuco;;;;Pernambuco;;;;;;;;;
BRZ_2439;Bahia;;;;Bahia;;;;;;;;;
BRZ_2443;Minas Gerais;;;;Minas Gerais;;;;;;;;;
BRZ_2447;Rio de Janeiro;;;;Rio de Janeiro;;;;;;;;;
BRZ_2450;Sao Paulo;;;;Sao Paulo;;;;;;;;;
BRZ_2463;Sul;;;;Sul;;;;;;;;;
CHI_1086;Kouriles Islands;;;;Islas Kouriles;;;;;x
DEN_251;Greenland;;;;Groenlandia;;;;;;;;;
ENG_1923;Yorubaland;;;;Yorubaland;;;;;;;;;
FRA_399;Nord-Pas-De-Calais;;;;Norte-Paso-de-Calais;;;;;;;;x
FRA_402;Picardie;;;;Picardía;;;;;;;;x
FRA_408;Champagne;;;;Champán;;;;;;;;x
FRA_411;Lorraine;;;;Lorena;;;;;;;;x
FRA_432;Franche-Comte;;;;Franco Condado;;;;;;;;x
GRE_837;Greece;;;;Grecia;;;;;;;;;
JAP_1087;Sakhalin;;;;Sajalín;;;;;;;;x
MEX_2151;Coahuila y Nuevo Leon;;;;Coahuila y Nuevo León;;;;;;;;x
MOR_1696;Western Sahara;;;;Sahara Occidental;;;;;;;;;
PAP_752;Lazio-Campania;;;;Lazio-Campania;;;;;;;;;
PRU_546;Vorpommern;;;;Vorpommern;;;;;;;;x
PRU_575;Nordrhein;;;;Nordrhein;;;;;;;;x
PRU_578;Mittelrhein;;;;Mittelrhein;;;;;;;;x
PRU_701;Wielkopolskie;;;;Wielkopolskie;;;;;;;;x
RUS_710;Ma³opolskie;;;;Ma³opolskie;;;;;;;;x
RUS_1196;Turkmenistan;;;;Turkmenistan;;;;;;;;x
SER_794;Serbia;;;;Serbia;;;;;;;;;
TUR_853;Albania-Montenegro;;;;Albania-Montenegro;;;;;;;;;
USA_2556;Carolina;;;;Carolina;;;;;;x
SWE_331;Gotland and Bornholm;;;;Gotland y Bornholm;;;;;;x
